ascl_id	credit	num_citations	bibcode
1202.003	Kaplan, George; Bartlett, Jennifer Lynn; Monet, Alice; Bangert, John; Puatua, Wendy; Harris, William; Fredericks, Amy; Barron, Eric G.; Barrett, Paul	1	2012ascl.soft02003K
1202.004	Koning, Arjan; Hilaire, Stephane; Duijvestijn, Marieke	1	2012ascl.soft02004K
1202.005	Swanson, Molly; Tegmark, Max; Hamilton, Andrew; Hill, Colin	3	2012ascl.soft02005S
1202.006	Heck, Dieter; Pierog, Tanguy; Knapp, Johannes	1	2012ascl.soft02006H
1202.009	Sneden, Chris; Bean, Jacob; Ivans, Inese; Lucatello, Sara; Sobeck, Jennifer	25	2012ascl.soft02009S
1202.010	Sneden, Chris; Uomoto, Alan; Cottrell, Peter; Fitzpatrick, Mike	1	2012ascl.soft02010S
1202.012	Dimmelmeier, Harald; Novak, Jérôme; Cerdá-Durán, Pablo	1	2012ascl.soft02012D
1202.013	Valenti, J. A.; Piskunov, N.	10	2012ascl.soft02013V
1202.015	Dullemond, C. P.; Juhasz, A.; Pohl, A.; Sereshti, F.; Shetty, R.; Peters, T.; Commercon, B.; Flock, M.	144	2012ascl.soft02015D
1203.001	Broos, Patrick; Townsley, Leisa; Getman, Konstantin; Bauer, Franz	14	2012ascl.soft03001B
1203.002	Barden, Marco; Häußler, Boris; Peng, Chien Y.; McIntosh, Daniel H.; Guo, Yicheng	1	2012ascl.soft03002B
1203.003	Cooper, Michael C.; Newman, Jeffrey A.; Davis, Marc; Finkbeiner, Douglas P.; Gerke, Brian F.	99	2012ascl.soft03003C
1203.006	Alexander, Poul E. R.; Gieles, Mark	1	2012ascl.soft03006A
1203.012	Raab, Herbert	5	2012ascl.soft03012R
1204.001	Pauldrach, A. W. A.	1	2012ascl.soft04001P
1204.007	Hawley, John; Blondin, John; Lindahl, Greg; Lufkin, Eric	4	2012ascl.soft04007H
1204.013	Tricarico, Pasquale	1	2012ascl.soft04013T
1204.016	Pickles, Andrew	1	2012ascl.soft04016P
1205.002	Sandin, C.; Becker, T.; Roth, M. M.; Gerssen, J.; Monreal-Ibero, A.; Böhm, P.; Weilbacher, P.	1	2012ascl.soft05002S
1205.004	Plez, B.	86	2012ascl.soft05004P
1205.005	Pence, William; Chai, Pan	1	2012ascl.soft05005P
1205.008	Ramachandran, Prabhu; Varoquaux, Gaël	2	2012ascl.soft05008R
1206.001	Berrevoets, Cor; DeClerq, Bart; George, Tony; Makolkin, Dmitry; Maxson, Paul; Pilz, Bob; Presnyakov, Pavel; Roel, Eric; Weiller, Sylvain	1	2012ascl.soft06001B
1206.002	Lindberg Christensen, Lars; Nielsen, Lars Holm; Nielsen, Kaspar K.; Johansen, Teis; Hurt, Robert; de Martin, David	1	2012ascl.soft06002L
1206.006	Maschberger, Thomas	1	2012ascl.soft06006M
1206.007	Šubr, Ladislav	2	2012ascl.soft06007
1206.012	Eastman, Jason	1	2012ascl.soft06012E
1206.013	Rasband, W. S.	3	2012ascl.soft06013R
1207.001	Eastman, Jason; Gaudi, B. Scott; Agol, Eric	6	2012ascl.soft07001E
1207.005	van Dokkum, Pieter G.; Bloom, J.; Tewes, Malte	7	2012ascl.soft07005V
1207.006	Pych, W.	1	2012ascl.soft07006P
1207.007	Tollerud, Erik	2	2012ascl.soft07007T
1207.009	Barrett, Paul; Hsu, J. C.; Hanley, Chris; Taylor, James; Droettboom, Michael; Bray, Erik M.; Hack, Warren; Greenfield, Perry; Wyckoff, Eric; Jedrzejewski, Robert; De La Pena, Michele; Hodge, Phil	1	2012ascl.soft07009B
